mirna	contrast	model	n_targets_total	n_targets_tested	n_targets_DE	n_targets_up	n_targets_down	fisher_odds_ratio	fisher_p_value	mean_target_logFC	median_target_logFC	inferred_activity	mirna_family	mirna_function	spaceflight_relevance	target_genes	de_target_genes	fisher_fdr
miR395	CFDmodel_Organ_organ_simpleroot	cfd_covariate	4	4	0	0	0	0.0	1.0	0.1524260559537452	0.173662398447788	UNCHANGED	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	8	8	0	0	0	0.0	1.0	0.08003781466773102	0.0310032433688064	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550		1.0
miR159	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	0.0052742492310518495	0.01562552327245675	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	3	3	0	0	0	0.0	1.0	-0.08432465443058468	-0.118995072548545	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.16653724712788276	-0.1734646930622385	UNCHANGED	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.20106994991350674	-0.18747045072256652	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.20106994991350674	-0.18747045072256652	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	3	3	0	0	0	0.0	1.0	0.06741999836328218	-0.0067019562974069	UNCHANGED	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.14487984142054738	-0.16027750644703098	UNCHANGED	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.0059197036505165	-0.0050172657440265	UNCHANGED	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170		1.0
miR172	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	0.014550964003957402	-0.0143205568128912	UNCHANGED	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560		1.0
miR319	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	0.5303538189611237	0.6526511054505	DOWN (targets de-repressed)	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	0.04287403333997683	-0.02346099113546185	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	5	5	0	0	0	0.0	1.0	0.09455637692069292	-0.0413276513545709	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	3	3	0	0	0	0.0	1.0	-0.403095139052936	-0.288211969508229	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	3	3	0	0	0	0.0	1.0	0.01597500051461567	0.0192788124153619	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	2	2	0	0	0	0.0	1.0	-0.037818447755345	-0.037818447755345	UNCHANGED	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230		1.0
miR157	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	0.09596333708628707	0.0310032433688064	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	2	2	0	0	0	0.0	1.0	-0.11207630345748425	-0.11207630345748425	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	CFDmodel_Organ_organ_simpleshoot	cfd_covariate	4	4	0	0	0	0.0	1.0	0.13421515971849055	0.0558055854925174	UNCHANGED	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	8	8	0	0	0	0.0	1.0	0.23655459394346373	0.10944779711081354	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550		1.0
miR159	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	1	0	1	10.431895093062606	0.1183527411792294	-0.12264376264849475	0.011180509204122502	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400	AT1G66370	1.0
miR160	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	3	3	0	0	0	0.0	1.0	0.008700286066016265	-0.0067045480581807	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	0	0	0	0.0	1.0	0.8067552205923336	0.5369379430342	DOWN (targets de-repressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.1271503470607165	-0.027997997014882994	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.1271503470607165	-0.027997997014882994	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	3	3	0	0	0	0.0	1.0	-0.16647094762227632	-0.109190600233006	UNCHANGED	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.400456723244173	-0.601253717235655	UP (targets suppressed)	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	1	1	0	10.431895093062606	0.1183527411792294	0.8671046556694396	0.2572669129408125	DOWN (targets de-repressed)	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150	1.0
miR172	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	0	0	0	0.0	1.0	0.12437356921752941	0.12601578667428534	UNCHANGED	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560		1.0
miR319	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.024977311933641236	0.060323628274360996	UNCHANGED	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	0	0	0	0.0	1.0	0.5632693384555666	0.41703672225529953	DOWN (targets de-repressed)	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	5	5	0	0	0	0.0	1.0	0.06128065982213758	0.117116291023639	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	3	3	0	0	0	0.0	1.0	0.03726261903573669	-0.447940471203317	UNCHANGED	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	3	3	0	0	0	0.0	1.0	0.31651805505748626	0.493478867620567	DOWN (targets de-repressed)	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	2	2	0	0	0	0.0	1.0	0.067460650777378	0.067460650777378	UNCHANGED	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230		1.0
miR157	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	0	0	0	0.0	1.0	0.420325355263316	0.3892042013018985	DOWN (targets de-repressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	2	2	0	0	0	0.0	1.0	-0.0693179931268615	-0.0693179931268615	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	CFDmodel_Organ_organ_simpleundifferentiated cell culture	cfd_covariate	4	4	0	0	0	0.0	1.0	0.5595728483008654	0.66432348504028	DOWN (targets de-repressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	8	8	0	0	0	0.0	1.0	0.48604280248022924	0.284356156079928	DOWN (targets de-repressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550		1.0
miR159	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	0.10776311167040824	0.2819848957119354	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	3	3	0	0	0	0.0	1.0	-0.07929281742090026	-0.0999595125157258	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	0.3971954808422074	0.3499848731314345	DOWN (targets de-repressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.38852451705078933	-0.11449573440398206	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.38852451705078933	-0.11449573440398206	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	3	3	0	0	0	0.0	1.0	-0.017790571322344666	0.090059014524563	UNCHANGED	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.18840978926274163	0.07723931594079375	UNCHANGED	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	1	1	0	32.04452926208651	0.04069724655414814	0.7412134401187684	-0.00034058310407034977	DOWN (targets de-repressed)	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150	1.0
miR172	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.128849931377057	-0.03064888009354	UNCHANGED	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560		1.0
miR319	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.1631320823830653	-0.01219977671536765	UNCHANGED	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	0.2989243058950968	0.32373901350224	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	5	5	0	0	0	0.0	1.0	0.3711188906274348	0.323292002759844	DOWN (targets de-repressed)	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	3	3	0	0	0	0.0	1.0	0.15037748038090268	-0.0619383392202099	UNCHANGED	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	3	3	0	0	0	0.0	1.0	-0.01950394231653337	-0.0556968527386396	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	2	2	0	0	0	0.0	1.0	-1.2109887003407085	-1.2109887003407085	UP (targets suppressed)	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230		1.0
miR157	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	0.3898560341800489	0.392293488393342	DOWN (targets de-repressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	2	2	0	0	0	0.0	1.0	-0.1286994489354015	-0.1286994489354015	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	CFDmodel_Organ_organ_simplewhole_seedling	cfd_covariate	4	4	0	0	0	0.0	1.0	0.08218853069635297	0.199151669522996	UNCHANGED	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	CFDmodel_Light_lightdark	cfd_covariate	8	8	1	1	0	0.8511269971483261	0.7110232081959573	0.2778352053030935	0.15020186483106365	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT3G15270	1.0
miR159	CFDmodel_Light_lightdark	cfd_covariate	4	4	0	0	0	0.0	1.0	0.22533829926635615	0.08822275715167285	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	CFDmodel_Light_lightdark	cfd_covariate	3	3	0	0	0	0.0	1.0	0.1814571773943283	0.153624175500117	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	CFDmodel_Light_lightdark	cfd_covariate	4	4	0	0	0	0.0	1.0	0.3641927454403076	0.40276113077571396	DOWN (targets de-repressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	CFDmodel_Light_lightdark	cfd_covariate	4	4	1	1	0	1.9863275909215203	0.4624060169282445	0.6426572969910532	0.511688011621344	DOWN (targets de-repressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600	AT5G65600	1.0
miR166	CFDmodel_Light_lightdark	cfd_covariate	4	4	1	1	0	1.9863275909215203	0.4624060169282445	0.6426572969910532	0.511688011621344	DOWN (targets de-repressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600	AT5G65600	1.0
miR167	CFDmodel_Light_lightdark	cfd_covariate	3	3	0	0	0	0.0	1.0	0.31776925844175535	0.719197127599815	DOWN (targets de-repressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	CFDmodel_Light_lightdark	cfd_covariate	4	4	0	0	0	0.0	1.0	0.00496656677016778	-0.03953990433765595	UNCHANGED	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	CFDmodel_Light_lightdark	cfd_covariate	4	4	0	0	0	0.0	1.0	0.10921957993911376	0.2609285204895855	UNCHANGED	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170		1.0
miR172	CFDmodel_Light_lightdark	cfd_covariate	4	4	2	0	2	5.960886214442013	0.1014444181623708	-0.5438918237400179	-0.526595920009313	UP (targets suppressed)	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560	AT2G28550;AT5G67030	1.0
miR319	CFDmodel_Light_lightdark	cfd_covariate	4	4	0	0	0	0.0	1.0	0.278573685668955	0.480475676964208	UNCHANGED	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	CFDmodel_Light_lightdark	cfd_covariate	4	4	0	0	0	0.0	1.0	-0.04557907748102615	-0.1011731293983583	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	CFDmodel_Light_lightdark	cfd_covariate	5	5	0	0	0	0.0	1.0	0.06694897933247194	0.0368815624688884	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	CFDmodel_Light_lightdark	cfd_covariate	3	3	1	1	0	2.9796281104730653	0.37216561723677616	1.2598744302500076	0.395342577959452	DOWN (targets de-repressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990	AT2G40370	1.0
miR398	CFDmodel_Light_lightdark	cfd_covariate	3	3	0	0	0	0.0	1.0	-0.04322853001408453	-0.0469846866132816	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	CFDmodel_Light_lightdark	cfd_covariate	2	2	2	1	1	inf	0.020649415801147607	-1.21164932086828	-1.21164932086828	UP (targets suppressed)	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT5G20230;AT2G44790	1.0
miR157	CFDmodel_Light_lightdark	cfd_covariate	4	4	0	0	0	0.0	1.0	0.1722233790855568	0.26191690092459163	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	CFDmodel_Light_lightdark	cfd_covariate	2	2	0	0	0	0.0	1.0	0.2822031355333856	0.2822031355333856	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	CFDmodel_Light_lightdark	cfd_covariate	4	4	1	0	1	1.9863275909215203	0.4624060169282445	-0.7125446034815298	-0.0543240489039995	UP (targets suppressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890	AT1G80840	1.0
miR156	CFDmodel_Light_lightred_light	cfd_covariate	8	8	2	2	0	1.1520723876240513	0.5660248149785507	-0.0011322674927326248	-0.252816519742806	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT3G15270;AT2G42200	1.0
miR159	CFDmodel_Light_lightred_light	cfd_covariate	4	4	1	1	0	1.1520457596451292	0.6381812583990658	0.091523876707019	-0.14900776854771802	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400	AT2G42200	1.0
